BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,216, ,A1, 998 ANNADALE ROAD                         ,            ,10312,1,0,1,"4,864","2,208",2012, 1 , A1 ,"$599,999",12/7/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,217, ,A1, 994 ANNADALE ROAD                         ,            ,10312,1,0,1,"4,518","2,208",2012, 1 , A1 ,"$610,948",12/12/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6252,1, ,A2, 87 DOWNES AVENUE                          ,            ,10312,1,0,1,"4,000","2,200",1974, 1 , A2 ,"$480,000",11/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6259,40, ,A2, 100 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"4,000","1,300",1955, 1 , A2 ,"$360,000",12/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6261,17, ,A2, 237 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"8,000","1,150",1925, 1 , A2 ,"$497,500",12/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6268,66, ,A2, 223 SINCLAIR AVENUE                       ,            ,10312,1,0,1,"4,200","1,864",1965, 1 , A2 ,"$500,000",8/23/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6269,47, ,A1, 237 STAFFORD AVENUE                       ,            ,10312,1,0,1,"4,000","1,360",1930, 1 , A1 ,"$340,000",10/26/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6271,13, ,A1, 478 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"4,000","1,804",1940, 1 , A1 ,$0,4/25/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6278,1, ,A2, 275 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"4,900","1,084",1955, 1 , A2 ,$0,10/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6278,56, ,A2, 350 IONIA AVENUE                          ,            ,10312,1,0,1,"4,000","1,170",1960, 1 , A2 ,$0,12/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6279,13, ,A2, 209 SOUTH RAILROAD ST                     ,            ,10312,1,0,1,"4,200","2,230",1985, 1 , A2 ,$0,3/27/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6281,28, ,A1, 360 IONIA AVENUE                          ,            ,10312,1,0,1,"3,600","2,100",1979, 1 , A1 ,$0,9/25/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6296,68, ,A2, 319 DELMAR AVENUE                         ,            ,10312,1,0,1,"4,000","1,968",1970, 1 , A2 ,"$575,000",4/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6297,70, ,A2, 289 DELMAR AVENUE                         ,            ,10312,1,0,1,"4,000","1,269",1960, 1 , A2 ,$10,4/24/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6298,5, ,A2, 116 RAMONA AVENUE                         ,            ,10312,1,0,1,"4,000","2,220",1974, 1 , A2 ,$0,9/19/2012
